"ResponseId","targetID","ownRating","age","gender","issue","issue_pos","StartDate","EndDate","political","policing_att","assault_att","target","otherRating"
"R_1eRDxgBb6AvCbXG","R_2Y9zWI02NDD0Rlu",3.05555555555556,18,1,"blm",7,"2019-05-10 14:19:27","2019-05-10 14:22:07",6,7,2,1,3.5
"R_1eRDxgBb6AvCbXG","R_2ZWFZEj8U5ytmog",4.66666666666667,18,1,"blm",7,"2019-05-10 14:19:27","2019-05-10 14:22:07",6,7,2,2,4.36111111111111
"R_1etOTf1JJBlAUmi","R_3GfHp9fRufaf9ST",2.88888888888889,59,2,"sa",2,"2019-05-09 08:38:29","2019-05-09 08:52:03",6,6,2,1,5.55555555555556
"R_1etOTf1JJBlAUmi","R_8926mIgxnBdatMJ",4.61111111111111,59,2,"sa",2,"2019-05-09 08:38:29","2019-05-09 08:52:03",6,6,2,2,4.13888888888889
"R_1eUKyq6ct6XYDMa","R_2sQOJOPrcJn0mOs",6.61111111111111,26,2,"blm",3,"2019-05-09 10:37:14","2019-05-09 10:45:43",5,3,5,1,6.0462962962963
"R_1eUKyq6ct6XYDMa","R_bQuM5UIUCXbTqoh",4.11111111111111,26,2,"blm",3,"2019-05-09 10:37:14","2019-05-09 10:45:43",5,3,5,2,4.73148148148148
"R_1eV7I6SpTlgkOwu","R_1mx6mNRMstmJsCC",4.16666666666667,41,2,"sa",2,"2019-05-09 09:18:31","2019-05-09 09:34:52",4,5,2,1,5.77777777777778
"R_1eV7I6SpTlgkOwu","R_3FKbBHTJTrjbRyV",4.5,41,2,"sa",2,"2019-05-09 09:18:31","2019-05-09 09:34:52",4,5,2,2,5.02777777777778
"R_1eW6gcjfWNd2bQ8","R_06tt2MQ9Bx5XHj3",1.33333333333333,23,1,"blm",5,"2019-05-09 08:09:52","2019-05-09 08:17:01",3,5,6,1,3.18518518518519
"R_1eW6gcjfWNd2bQ8","R_3nO8jkZ8QqsauCt",4.94444444444444,23,1,"blm",5,"2019-05-09 08:09:52","2019-05-09 08:17:01",3,5,6,2,5.63888888888889
"R_1eWeXIT51djosT2","R_1rqCRJe0II3DAvc",3.61111111111111,50,2,"sa",7,"2019-05-09 08:09:05","2019-05-09 08:32:18",1,6,7,1,4.42592592592593
